"id","item_image","item_code","item_name","item_merk","item_type","item_weight","item_length","item_width","item_height","item_hpp","item_before_sale","item_discount","item_sale","item_profit","item_description","item_warehouse_a","item_warehouse_b","item_warehouse_c","item_warehouse_d","item_stock","category_id","supplier_id","created_at","updated_at","deleted_at"
"1320","1641277529_21b4826d013e9d045b26.png","C333535","S/S SINGLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1800","300","400","852500","1217860",NULL,"1217860","365357",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1321","1641277529_21b4826d013e9d045b26.png","C333536","S/S SINGLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1900","300","400","862500","1232140",NULL,"1232140","369643",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1322","1641277529_21b4826d013e9d045b26.png","C333537","S/S SINGLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"2000","300","400","872500","1246430",NULL,"1246430","373929",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1323","1641277529_21b4826d013e9d045b26.png","C333538","S/S SINGLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"2100","300","400","882500","1260710",NULL,"1260710","378214",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1324","1641277529_21b4826d013e9d045b26.png","C333539","S/S SINGLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"2200","300","400","892500","1275000",NULL,"1275000","382500",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1325","1641277529_21b4826d013e9d045b26.png","C333540","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"400","300","700","520000","742857",NULL,"742857","222857",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1326","1641277529_21b4826d013e9d045b26.png","C333541","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"500","300","700","585000","835714",NULL,"835714","250714",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1327","1641277529_21b4826d013e9d045b26.png","C333542","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"600","300","700","715000","1021430",NULL,"1021430","306429",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1328","1641277529_21b4826d013e9d045b26.png","C333543","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"700","300","700","845000","1207140",NULL,"1207140","362143",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1329","1641277529_21b4826d013e9d045b26.png","C333544","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"800","300","700","975000","1392860",NULL,"1392860","417857",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1330","1641277529_21b4826d013e9d045b26.png","C333545","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"900","300","700","1105000","1578570",NULL,"1578570","473571",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1331","1641277529_21b4826d013e9d045b26.png","C333546","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1000","300","700","1235000","1764290",NULL,"1764290","529286",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1332","1641277529_21b4826d013e9d045b26.png","C333547","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1100","300","700","1365000","1950000",NULL,"1950000","585000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1333","1641277529_21b4826d013e9d045b26.png","C333548","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1200","300","700","1495000","2135710",NULL,"2135710","640714",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1334","1641277529_21b4826d013e9d045b26.png","C333549","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1300","300","700","1657500","2367860",NULL,"2367860","710357",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1335","1641277529_21b4826d013e9d045b26.png","C333550","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1400","300","700","1787500","2553570",NULL,"2553570","766071",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1336","1641277529_21b4826d013e9d045b26.png","C333551","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1500","300","700","1917500","2739290",NULL,"2739290","821786",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1337","1641277529_21b4826d013e9d045b26.png","C333552","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1600","300","700","2047500","2925000",NULL,"2925000","877500",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1338","1641277529_21b4826d013e9d045b26.png","C333553","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1700","300","700","2177500","3110710",NULL,"3110710","933214",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1339","1641277529_21b4826d013e9d045b26.png","C333554","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1800","300","700","2437500","3482140",NULL,"3482140","1044640",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1340","1641277529_21b4826d013e9d045b26.png","C333555","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"1900","300","700","2697500","3853570",NULL,"3853570","1156070",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1341","1641277529_21b4826d013e9d045b26.png","C333556","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"2000","300","700","2827500","4039290",NULL,"4039290","1211790",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1342","1641277529_21b4826d013e9d045b26.png","C333557","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"2100","300","700","2957500","4225000",NULL,"4225000","1267500",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1343","1641277529_21b4826d013e9d045b26.png","C333558","S/S DOUBLE OVER HEAD SHELF","BKM","BKM - CUSTOM S/S 304",NULL,"2200","300","700","3217500","4596430",NULL,"4596430","1378930",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1344","1641277529_21b4826d013e9d045b26.png","C333559","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"900","750","850","3750000","7500000",NULL,"7500000","3750000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1345","1641277529_21b4826d013e9d045b26.png","C333560","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"1000","750","850","3850000","7700000",NULL,"7700000","3850000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1346","1641277529_21b4826d013e9d045b26.png","C333561","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"1200","750","850","3950000","7900000",NULL,"7900000","3950000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1347","1641277529_21b4826d013e9d045b26.png","C333562","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"1300","750","850","4050000","8100000",NULL,"8100000","4050000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
"1348","1641277529_21b4826d013e9d045b26.png","C333563","S/S COCKTAIL STATION W/ SINK & SPEED RAIL","BKM","BKM - CUSTOM S/S 304",NULL,"1400","750","850","4150000","8300000",NULL,"8300000","4150000",NULL,"0","0","0","0","1","26","1","2021-10-29 10:19:00","2022-02-21 14:08:00","0000-00-00 00:00:00"
